image1_path,image2_path,angle,cls
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/243.3253_HB19418.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/249.3253_HB19557.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/218.3253_HB19408.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/224.3253_HB19547.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/15.3253_HB19787.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/21.3253_HB19857.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/148.3253_HB19381.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/154.3253_HB19522.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/345.3253_HB19781.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/351.3253_HB19851.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/307.3253_HB19981.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/313.3253_HB19444.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/188.3253_HB19396.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/194.3253_HB19536.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/120.3253_HB19807.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/126.3253_HB19877.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/46.3253_HB19862.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/52.3253_HB19932.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/315.3253_HB19845.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/321.3253_HB19914.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/209.3253_HB19542.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/215.3253_HB19826.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/103.3253_HB20009.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/109.3253_HB19505.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/150.3253_HB19813.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/156.3253_HB19883.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/135.3253_HB19810.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/141.3253_HB19880.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/234.3253_HB19551.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/240.3253_HB19831.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/199.3253_HB19538.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/205.3253_HB19824.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/17.3253_HB19925.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/23.3253_HB19995.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/274.3253_HB19567.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/280.3253_HB19838.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/47.3253_HB19931.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/53.3253_HB20001.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/56.3253_HB19864.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/62.3253_HB19934.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/145.3253_HB19812.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/151.3253_HB19882.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/277.3253_HB19975.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/283.3253_HB19432.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/349.3253_HB19458.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/355.3253_HB19783.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/49.3253_HB19481.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/55.3253_HB19795.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/11.3253_HB19855.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/17.3253_HB19925.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/205.3253_HB19824.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/211.3253_HB19894.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/33.3253_HB19997.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/39.3253_HB19478.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/37.3253_HB19929.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/43.3253_HB19999.tiff,6,0
/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/312.3253_HB19982.tiff,/remote-home/bxy/emw/xhl/data/MSTAR/17/BRDM2/318.3253_HB19446.tiff,6,0
